Shop1,Shop2,Transport1,Shop3,Shop4,Shop5,Hospital1,Rush1,Rush2,Rush3,Rush4,Shop6,House1,Rush5,House2,Transport2,Shop7,Rush6,Shop8,Shop9,House3,Shop10,Rush7,House4,Transport3,Shop11,Hospital2,Shop12,Rush8,Rush9,Rush10,Rush11,Hospital3,Rush12,Transport4,Rush13,Shop13,House5,Shop14,Hospital4,Hospital5,House6,Shop15,Rush14,Rush15,House7,Shop16,Shop17,Rush16,Transport5,Shop18,House8,Rush17,Shop19,Transport6,Rush18,Shop20,Rush19,Shop21,House9,Shop22,Shop23,House10,Rush20,Rush21,Rush22,Rush23,Hospital6,House11,House12,House13,House14,Rush24,Shop24,Rush25,Shop25,House15,House16,Rush26,Rush27,Shop26,House17,House18,House19,Rush28,Shop27,Rush29,Shop28,Shop29,Rush30
0.051531412901437965,0.03948268843566454,0.038948779597085106,0.0450965496050029,0.06753848923207832,0.05856786579053676,0.0569837038470244,0.06334152089157306,0.04497627572197918,0.049887889525142365,0.07355673493790185,0.03704662476605516,0.07963629235142218,0.03704620399132539,0.03859557138630723,0.055979961596685154,0.07637103820852234,0.05793081290139991,0.06646032712078224,0.055789471386659406,0.06341618427036191,0.06193129642900097,0.10336328040878486,0.02626667501994915,0.07079979351714198,0.05050718700029958,0.06126532814554367,0.058671545048811814,0.047068994525024624,0.06908949300761011,0.06879334679029198,0.07815350819536884,0.08729264214067169,0.07753831000203418,0.05455708476817854,0.0636239256942244,0.07207836603729935,0.05522608915065976,0.03046032880728749,0.044341355155717556,0.059412159423418306,0.09421425995634182,0.04703741917313392,0.03737037475311333,0.058131422546490986,0.04268689900347799,0.046467235267412504,0.042845472987951674,0.05721265841749011,0.0766683566405014,0.07072809061035132,0.04600836689752076,0.06044927658380668,0.08004980082860459,0.06126100238083751,0.057822270644704625,0.0476388766641032,0.07485988242155617,0.05961459398913416,0.07902613849156849,0.06019278501861919,0.06349011287172092,0.06681003255922163,0.050014444792287505,0.08226136061782659,0.04876451085616384,0.04401136479138703,0.05799607759534844,0.07443700265380652,0.07512633846479119,0.07154589022211336,0.03368293063011961,0.0719709711075483,0.04572692661947235,0.09785568383463263,0.0425294772259145,0.09256200488594937,0.07340763362444239,0.06938423776163787,0.05253145962086475,0.05438639283916368,0.08687270230572618,0.05128637335045059,0.0661684299011788,0.07830056020406793,0.0773219285668959,0.04355563834616212,0.038423312524027364,0.07998247406608602,0.04794609417703216
0.046718285614734865,0.07466498781282212,0.030431925838091445,0.06048111309659305,0.051553299810575305,0.06182632836166428,0.05307325869842759,0.04555822009556717,0.07589589282540944,0.07833956728445457,0.05400374578919537,0.06876664411132251,0.06922051867709704,0.05441663216118908,0.07110095265568302,0.04786933105297945,0.05553740539073016,0.061841633100697235,0.05354568030041603,0.037020847448999375,0.030960011136726986,0.06770688684479209,0.07101621226038556,0.028244980266457543,0.04578818771692024,0.05805651283493945,0.039635914543950955,0.06599778455429071,0.033070333225464946,0.06833129512630341,0.046073930427135514,0.051327476921840434,0.07293555468048278,0.05963684192635309,0.057893066695728246,0.0478342773245981,0.04161021382633776,0.07653782221978424,0.06714123060928916,0.08026203095626408,0.07626943145863618,0.05879364751375694,0.059887356982771964,0.06062753735571201,0.06564346745140703,0.051976863234597805,0.05654172568747487,0.0459830986636916,0.05144085958929542,0.05361731312959178,0.04120522567144683,0.05874700290464198,0.042244466688550746,0.06012229985424382,0.04117892184330339,0.07136745883295766,0.05320661177105127,0.0671801287907565,0.06020453700159043,0.045216902149873076,0.05461994047393414,0.0792925518462696,0.05841788306454987,0.05397020643431489,0.06149735317626123,0.05218562188346398,0.08104316096918758,0.07750473388673139,0.028608264024709014,0.07659937278103007,0.05320524340272734,0.07314858468733647,0.07379060333411741,0.08395292513302116,0.04464545577936992,0.09318636915064984,0.06144782843311585,0.09157258045180566,0.06006362687757642,0.05370533496028485,0.05324942744483092,0.06794873726293653,0.059668623878985215,0.047649220023056674,0.0485076844901088,0.047920635945454725,0.06887538056168702,0.0632858615202647,0.044254468394999594,0.03914572586230876
0.06825548362182768,0.09259238983263207,0.06159700221212009,0.030301487891209098,0.06863846150482314,0.060319244187016854,0.06001528754574075,0.0739355668415524,0.05115351942260379,0.07553341012204948,0.06011555805347611,0.0635408264227594,0.05755616630798472,0.09157827566079152,0.024834062413814778,0.04586503997384659,0.06105643176463219,0.04075926444182968,0.05812542565766709,0.06605287874858837,0.05233020854053617,0.05233309844834307,0.0411668681605138,0.047661308670664905,0.08619898010583968,0.0692427493800838,0.01984234019708504,0.05234220067376706,0.07921895342585088,0.04922751794989165,0.05116625786111328,0.08691178136782894,0.049682755328722135,0.05428151160831937,0.03247242116206783,0.033409448803019444,0.03937915120988605,0.06251897346273683,0.03577652675795402,0.10002721087522529,0.049931537227276876,0.04470128116911189,0.03912518217824742,0.05033430762919173,0.05548535314702445,0.05401107333952332,0.05663297961611324,0.06711158889265544,0.06715189617926612,0.06200539169327383,0.0827240576803848,0.05203755374906491,0.0525360932762706,0.03687255380934771,0.09429039917220863,0.049914556396720114,0.06702205178154014,0.04619223961345281,0.04082252427071781,0.0761884781687456,0.051016730795284244,0.06574389959333156,0.07394391609344612,0.05207158809560488,0.08263745847291323,0.06768867404535046,0.07592379066744233,0.07505131377312187,0.04898365616204116,0.07118486486229889,0.05455914342818208,0.08891452816454729,0.020903557735959612,0.06792081431341339,0.04958039672893829,0.054843067492116364,0.0680371301562723,0.057605195117575864,0.04042298797159885,0.05600512889556655,0.05453749667861681,0.04613271914601402,0.05264160452263238,0.05818551456226172,0.052217061876955254,0.09873209984559225,0.05500469177917062,0.04784057893639069,0.05047885922112599,0.03526709044946248
0.07912872924184161,0.1638785099699709,0.2267343398400848,0.15491200191972865,0.3628409582025018,0.24951993298392797,0.13118376534380088,0.16035451716817115,0.6875139014216639,0.06799706100648839,0.17124833269520084,0.321133035034449,0.4785652764402803,0.11980369605804785,0.1412340618304693,0.25198871645445264,0.10745712514922028,0.06300423239694501,0.43603392284405124,0.4616793153107319,0.16483547251944014,0.07164005829455908,0.0985693629945948,0.2995363479188399,0.34272064502170346,0.16665307446340627,0.06949127247812466,0.22220989941467023,0.16782914921509742,0.20456544025833098,0.22292023526205385,0.2141588447345446,0.21421616941196908,0.15708719710124594,0.07987205582812905,0.18469589089545244,0.3713897599481239,0.2985977653450337,0.34822682376841246,0.22733034235827076,0.4145529619001656,0.4610624893662798,0.429941915117876,0.17625300829533264,0.16206934913344714,0.4513339277623491,0.21793189465913074,0.1908648334442158,0.3584423774390674,0.16816264778952325,0.122634894855251,0.40358946657339884,0.23883406634396212,0.590898862572757,0.135516328277567,0.1291979450282263,0.20728968758765848,0.13600922034813123,0.12185344657381439,0.3520274533511847,0.28874890499567746,0.2680677005775199,0.5448724295980419,0.2080451146413055,0.12108315897057717,0.0741925243361318,0.10020200958005739,0.18881615978395272,0.1891489612065241,0.2076789298691226,0.2705037054992734,0.22292593175015132,0.17110555034659086,0.11635688073143491,0.10939458181958131,0.16040669808475935,0.5657929984219786,0.46079414052606676,0.07450635906613345,0.14761276076083074,0.08379870809490911,0.09048628552612316,0.3367326856152506,0.25651723718088987,0.24629710251854126,0.09033595543005435,0.08296844778464937,0.1519811489623596,0.30565111412713203,0.1040285625361153
0.08262821877397986,0.1977598664193069,0.18696128576156093,0.21302898134701195,0.4000729831703695,0.24459026136495446,0.13812851796819856,0.20802147053356493,0.45949336518910605,0.08771219390230205,0.17637300187424176,0.3101377919713081,0.5547940143622191,0.187165428702688,0.08759675535706903,0.25762711113731257,0.10072935316564535,0.06352538929901218,0.5536257692599981,0.33480329295975697,0.16564961097127656,0.09037094772712763,0.05396906025722776,0.33205004806993527,0.31858423141474823,0.20043260432187446,0.0927842687046834,0.20099312022788945,0.18948268585219094,0.2697005706252185,0.2668906653150145,0.21991924606985797,0.18799361553344254,0.1858985507104314,0.1088840394215534,0.1695226078309602,0.37868079552483686,0.3697646340877139,0.3980951379552816,0.21009824463212995,0.4448715585023106,0.38862176695878337,0.3930696542585927,0.18743236975662816,0.24092464809821987,0.3986232324793351,0.2861811042520134,0.18716505374212558,0.2888130865011542,0.22023593853239537,0.16409871226279063,0.4055432433435354,0.2238306829800582,0.5449365855994681,0.17455770397843423,0.1954564983758579,0.12855786881860287,0.14729085704348444,0.14946761387764446,0.3710137693749025,0.3664197657265849,0.24118253793328603,0.5467284107151847,0.2561438777442031,0.056422973542870826,0.046325158828462026,0.07823808099599286,0.17364834489228423,0.20921762168971,0.15549339779562657,0.2633639591426688,0.31133571562704443,0.22304543256465167,0.10303502071564344,0.10936773957223331,0.13623361228900885,0.5208388173672367,0.3479051558698542,0.04552864983333696,0.19912902274686847,0.07203174821222952,0.11905842454609998,0.3055594879661017,0.2259908648647825,0.2544645400971763,0.03746406313619746,0.09276928544294645,0.12824188319862,0.2542768499273619,0.07818529140896509
0.05884264090149658,0.20986247770070618,0.18753797783023196,0.2252337526338913,0.46460650805897,0.24679756757382176,0.09171443263178072,0.2265428071378324,0.5710011806645982,0.07591657467270072,0.21488819428309977,0.2641677943453506,0.5621137889138869,0.11699625166600965,0.1537603227573556,0.2702593558187806,0.12540330968436406,0.06737435387316433,0.4721973369362353,0.42914751215107144,0.14570657203053952,0.05644043548487323,0.07249923398280418,0.3005844220943785,0.33163997509602405,0.20159565807769847,0.08236097380544274,0.20720391937031346,0.20932730055243035,0.2765725566386887,0.2695347846413005,0.2067680271866646,0.2421516321822577,0.11241647206259936,0.11039596881743523,0.2196308156165055,0.3891044892255108,0.24402492149141167,0.3980345304030584,0.21322692308122468,0.46313827976025285,0.36246635066253796,0.3745536494885296,0.21602630084964924,0.1796751711996304,0.42395904371751425,0.3566227515081878,0.1449497489722092,0.3490032135242164,0.21486969259275127,0.16487399528970093,0.3573281531202545,0.23866876370597348,0.5994071418826586,0.18649763779528933,0.18307395698321027,0.11526145125220831,0.12055766643040097,0.10097376639211286,0.39591929894844385,0.3784194459992633,0.233808274970742,0.5897613387979306,0.2654266651889773,0.14241926570557104,0.05826873178932889,0.11532102962277162,0.18229522374790683,0.19402201020104537,0.1931926438675107,0.2503194771754041,0.3150803845072973,0.25430629585257836,0.07625432783340125,0.1161316752859778,0.16262081743248227,0.4740015640903904,0.4090199936737642,0.07093521333620521,0.2305640403423844,0.10229112541657402,0.11642935218819825,0.3454159424720238,0.2271252557558402,0.38546977168383273,0.08225300619605379,0.08306169529984068,0.1791868600337241,0.2576505069356419,0.10811577784645622
0.18014725273053417,0.22406222639401663,0.1660805644470344,0.2163497336303653,0.5040711427101987,0.26561802478879304,0.10313194434110419,0.28446842687464363,0.6832002930726123,0.11749139542477163,0.22687548203273583,0.33627960116747563,0.6018825551418945,0.18467791794468463,0.23914916722704355,0.39438263863103346,0.12301384891324338,0.06622980091519426,0.471630724377948,0.38994344588977553,0.15998827308183944,0.07090929541665893,0.15124821580816256,0.1950064254095034,0.4084973120878856,0.21371359177711421,0.0910694046743622,0.2761055001138235,0.30343950503531636,0.3313454868580518,0.333994136981969,0.2124317344189864,0.20924469981851979,0.2331447893779119,0.10969521261556946,0.25841677407919933,0.382414281796913,0.3202291238525168,0.4350865143305984,0.2418740124232466,0.44007785308305364,0.5429126104545589,0.4141472075796717,0.36492402361489623,0.19683161495908255,0.4650335580016691,0.35140889045417917,0.21439194215486795,0.3188608533722249,0.3196327218061153,0.19961757075046077,0.3359199496654125,0.2648905129146541,0.6846347750602024,0.24275983384313002,0.21633094633817332,0.2050040600803336,0.13082769553666374,0.18118704833349175,0.42655432781042213,0.38761748592723727,0.3142785459303113,0.5759472010030536,0.3656641211778436,0.16851992124032986,0.04933451635317983,0.08650080436608248,0.13057689931763908,0.25498089598919405,0.18699711517576798,0.23033659704424037,0.30152216871256027,0.3065963142789989,0.09779794981396078,0.11875502897700244,0.16410510258591435,0.5453345376953087,0.5408802511175049,0.0852445730294358,0.3943704351489336,0.06104443174317682,0.08665273380633377,0.3818105451711244,0.24608424762157521,0.4869675117542982,0.07016296768059889,0.11607670954094701,0.1683769113232574,0.28889827524808126,0.09130619307661485
0.2926125569953409,0.29969603019542584,0.33419030541801564,0.37415748196030185,0.7091792247144646,0.33627802993205036,0.15445619049637976,0.3289230026639688,0.9703791811189284,0.204309766971488,0.34097689373249396,0.4734911202664013,0.7814439226522902,0.286436271091053,0.6398918583634997,0.5289114243018302,0.18690301821659294,0.2542556148857519,0.6288804625726735,0.5438485243713983,0.29753177986723073,0.14502787375179144,0.2174288569642536,0.4026476974722884,0.713559528646595,0.4094414098302873,0.11956981009530442,0.553483321125343,0.31495992964883945,0.46793864479584796,0.40724824729804254,0.35680622871504675,0.25229874867428675,0.42352491897071803,0.1787916485498481,0.49873790933760453,0.5273034582866466,0.4405418170296012,0.5238282086342112,0.3349487241436993,0.539815683009571,0.7161085373186097,0.5951795922404677,0.686986888834427,0.26547173299049986,0.6701021388063821,0.4160272738170929,0.27601699150299713,0.5263029925356028,0.8473737045716675,0.28649842455130864,0.54598084348587,0.37893450685639757,0.9275439515433272,0.4665536456343632,0.40653139960772977,0.3239032139640845,0.1047245734307833,0.3608115447806986,0.6242953286154473,0.43672687944445987,0.3657550064958652,0.6619874469191753,0.7548622710369465,0.2094793426846584,0.13263090590747345,0.13345431435594393,0.17035492318586712,0.2723280851158468,0.19421651917304897,0.4678581720007585,0.3261709350173506,0.5073639487994521,0.1022562615899795,0.21056877906223306,0.20579302793266835,0.6529682494569686,0.5971000990012097,0.2082486815366572,0.8973295272258663,0.12256561897231051,0.1853963254681366,0.48011856506448114,0.3788308265309588,0.780903396583449,0.12382352599827143,0.21658541881134427,0.3293071435387691,0.45456812846023686,0.1404951985210817
0.4015704013780746,0.4115990320477417,0.36904436654594136,0.3699624366776284,0.8794893973044889,0.486375718898589,0.16636850125561642,0.6102951595263683,1.0098837912026473,0.574853355144826,0.9385436806473713,0.9036599607836321,0.8496323594135422,0.2758315130130531,0.8336999944720377,0.7911940878690653,0.24595118386648154,0.3674654261580032,0.5985537574698894,0.85324429901012,0.2860260357299718,0.18915483526985025,0.43289573213967775,0.6797569675552687,0.7117605140130393,0.46276851580929,0.16227612687416632,0.7145015617373184,0.46427729439394055,0.7256648228083389,0.5682061474907185,0.449222692861378,0.33222010391015616,0.7484686835005236,0.2945338309040499,1.0847552876991335,0.6279096814299657,0.5463092955118951,0.6586746803822109,0.3674062366715568,0.517853018258613,0.6130190882749034,0.7712328402636869,1.0607497668453176,0.25788103663009276,0.7144167430718749,0.38810485110004667,0.27896834702818507,0.7255661337229139,0.8910302742009794,0.3650115952303769,0.5635451100918936,0.7919012784782067,1.0136878165587244,0.5212307249531365,0.7302886242503177,0.5053641945074344,0.12834382127354008,0.3321728515699559,0.7855256588904876,0.5561220333100819,0.3713211978519252,0.6787274011098079,0.921492201153144,0.27583884857898,0.1591336845232231,0.2645324261455045,0.17786420334936776,0.2106192404988867,0.20597252030115462,0.5719000148410884,0.2709554381049616,0.667634351974525,0.15094737140470266,0.4083849965714125,0.2729735492443388,0.636930157910495,0.46263905648856274,0.14908758350139956,1.5833477440529116,0.18602070084702835,0.23214960250102704,0.5742492453924372,0.442939048499407,0.9543751059710925,0.16284919250718868,0.6280735231261206,0.49258981821786824,0.5000367449700243,0.164641521350446
0.4442456340237987,0.45524139215245846,0.5188125360467639,0.4395923224187967,0.9777577309289175,0.5752946344403955,0.13022078966941042,0.8261057977827697,1.1198999316171123,0.8392297638961116,1.0464874865744342,1.0956618601255277,0.8371276538130145,0.4150665476868819,0.9980636517064382,1.0874475353051147,0.2306598627122085,0.34584506892740285,0.709569052216028,0.9762275876514227,0.35836706326469187,0.15434803765659097,0.4292363474599326,0.6543236082711748,0.7830094271663094,0.6795700300815402,0.16749387811316047,0.7924723796998353,0.5538308749064004,0.847700096550159,0.7434108744052587,0.5149636302967818,0.41391426402731096,0.9514473331460068,0.38139071081761067,1.2353163782383607,0.7317642053190053,0.539045501670639,0.6275830705935045,0.4437558472826859,0.5800059614468431,0.5714585827301353,0.8162508475589024,1.0905906290522218,0.32706837827611446,0.6846818203164958,0.42437176155355594,0.31877539994047677,0.8078537468950159,0.6962075883494692,0.31511105647731846,0.5950255207257158,0.9774612740527668,1.0208374916229042,0.4998345097811078,1.0126177792831454,0.5257303947253836,0.16730550122152102,0.30306633055145055,0.8374669917742229,0.5705910273299292,0.3734501239889921,0.6523086166495058,0.9778916864099636,0.3178676270988351,0.21634480537753306,0.3133842043041397,0.24833584710874657,0.2984312958971596,0.2510495514460658,0.5059283380492745,0.23730286871314626,0.8469078155700537,0.23966531816903167,0.5114348083016812,0.23811464638541802,0.705122388147305,0.5958622519207356,0.16298499152720136,2.094331801277554,0.23293756101230578,0.2584024936777301,0.531350825879784,0.3399538117762364,1.1488782288764985,0.16739246427705123,0.922533290172434,0.5509157069732216,0.6451987681201389,0.1296263805864085
