C1,C2,C3,C4,C5,C6,C7,C9,C10,C11,C12,C14,C15,C16,C17,C18,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C34,C35,C37,C38,C39,C40,C41,C42,C43,C45,M1,M2,M3,M4,M5,M6,M7
0.0046403695539301085,0.009008460720056954,0.0007417988448070977,0.01873601973843063,0.037954814807985654,0.012305011489344393,0.00886586502722786,0.0,0.0,0.03922786942481157,0.008881124678006308,0.026952729434033075,0.0,0.00964054711033149,0.008100970435736902,0.016836332151748255,0.024392124498420917,0.0,0.06915457528556727,0.04431787604900829,0.0,0.016153710563098528,0.0389814719923503,0.0,8.812694121680675e-05,0.005953455208825901,0.02019822768994364,0.02149845630264855,0.07953103939518102,0.1568751871713866,0.0,0.013549329775417986,0.11745645081256859,0.01810973477240637,0.020413307911955742,0.018047096068573028,0.050677081050094094,0.0,0.008133999574820798,0.013047400820235665,0.0343889033293312,0.02289543026166068,0.0,0.0178822447321577,0.01617837747095565,0.0
0.017192269823095904,0.024063691360605433,0.017586286696579398,0.0,0.039307219396711036,0.0,0.004780215465060876,0.00043689504916752733,0.01708484227106641,0.0,0.0,0.013593265754680825,0.03102570704902131,0.028217164990911595,0.02723587295201784,0.0038768930482327296,0.0,0.019580229737309787,0.04107928520211558,0.01261373805811649,0.004179604193790543,0.009684193812311594,0.044869788355013096,0.0466424601647667,0.004766831697192775,0.008399689815867004,0.004599171584335097,0.029589977564957896,0.042791774789451925,0.06818759457447539,0.06910982587575676,0.0,0.10772327479483126,0.0074754829191301594,0.02384098093696257,0.0,0.03832721074334662,0.0033380163844902375,0.01902296312072306,0.031607691274817114,0.03922466915809768,0.0,0.0010035240882921587,0.010417982787849348,0.03300137423890919,0.02777086129437012
0.01163700948534262,0.0005413164822099664,0.008358520998808919,0.030271443180897438,0.0,0.006956325505982745,0.015901495273262463,0.0012928365198576243,0.05363551399404738,0.017440655059511426,0.013737666143444297,0.034911362857020914,0.004496585201811714,0.026384973941939418,0.0,0.0,0.013877622741126514,0.006700363119927076,0.008713391706037285,0.0,0.005094806112126968,0.0024391513028848566,0.0,0.0704094722523745,0.0008445737342527466,0.00722558826324286,0.007902710324372699,0.01864827009125923,0.08019649661265521,0.2214579445434341,0.09671817633910901,0.004930485797211441,0.12500212314163742,0.010799504141870114,0.03937376934298781,0.0040450740874955135,0.01230323589366504,0.0017941374667593407,0.013287737840141922,0.016755449238455126,0.013156122726756321,0.06055199923160116,0.010852738861494063,0.024227362322525682,0.0,0.023931746338085334
0.07959538427899597,0.3261847321824057,0.026961994300973645,0.22243003609923417,0.11163457157786301,0.13287901913635708,0.22209558876954602,0.03538753080627714,0.08139688238439538,0.13741747416146327,0.20094412947789989,0.09983242792473376,0.2687755670750756,0.021464354535282292,0.06852104343200692,0.07442428827670672,0.27510540200048617,0.2235985837465152,0.07451562921501294,0.3726748999649458,0.18385246624084428,0.2639392160507178,0.0836647351364433,0.16491608716013573,0.15941514946610702,0.1036792861717945,0.2574520348177597,0.13345411599104012,0.14822126338810984,0.1961313765963152,0.3313907033353588,0.06732938197823816,0.3021418847290097,0.07124110239088616,0.04589009460179931,0.14047729931582262,0.05746392523797042,0.19561407106274278,0.3137936916248656,0.3987470335514644,0.04066223408382687,0.10755337356827616,0.1386200131843968,0.44308712930759014,0.1362614074751461,0.04213845299253501
0.08562889028025931,0.3532622725809607,0.033482206452705277,0.20434961673844165,0.1502378310848709,0.12273791874947601,0.17280750883078932,0.05456094646422576,0.14765112586562867,0.15459557717094588,0.14090766772709754,0.1356415805390438,0.31095554714595613,0.03433672337653687,0.03694643668923519,0.09528173868298496,0.23489833707061128,0.2889833947868448,0.116904794988504,0.30783495223422974,0.1601376447860428,0.3112869323411532,0.1348735670235941,0.2098338397372298,0.1420152653176255,0.13342345923017915,0.23491430853348444,0.2183922834668034,0.033813306804131346,0.03664584295124719,0.48620847882660473,0.09793789601069247,0.3194275126113391,0.0740282477373177,0.017969276988338573,0.17540507046354967,0.01906827121236905,0.1905640438566312,0.3154637765550697,0.2618718785995564,0.041306649477532445,0.15206415485947863,0.15511306012885578,0.44473790176235156,0.19981223604450174,0.025667277485440433
0.10106104670947463,0.3695762824047558,0.027024029159918014,0.21412958341735464,0.17347183097825739,0.1327672876285098,0.2154139428799585,0.06626048822711822,0.07863559497376163,0.14158864132372978,0.18555040637806328,0.1495554836156505,0.3109042836254902,0.02663514904595429,0.07589486193126217,0.04208573713660971,0.23639247229704133,0.1734595914549722,0.11300434553557089,0.2844238683968304,0.171536360676622,0.31583344089199944,0.1375422621167659,0.22587871385221792,0.16426186634898304,0.13916391529203015,0.21143250618510226,0.15241804464057848,0.18597278477428822,0.1717495469306431,0.49276591263731645,0.0947836337814002,0.20390192789786205,0.09497544170025626,0.02993575879307332,0.1775054182337344,0.05273213381789017,0.19282524039639584,0.27424960264271364,0.3288072949165779,0.04606593024609405,0.16567678436376287,0.13915166404228452,0.4830128452251836,0.213158134875172,0.05347649899217031
0.18142120922759908,0.34898101399066306,0.04898795760660726,0.27170287936742793,0.2123353220902845,0.1504911159541001,0.1940772462584335,0.12722624882339806,0.1452045120842942,0.19376741131634806,0.16699943527289032,0.19307132029045418,0.34224386205587026,0.05378010566673051,0.1261606072047902,0.12948478562264654,0.2613638448878275,0.24347247047983983,0.06882823355878333,0.44593697406827615,0.19001600256640225,0.34053488960957595,0.13630536266727916,0.24470383968260762,0.18457617217418776,0.20115054541569424,0.24719520937378586,0.1708979301075,0.23215456797645231,0.13528052415177083,0.4690235990954768,0.15636300785233131,0.2323203424078561,0.10149494805285689,0.02098440673062497,0.22870849958121775,0.0716921288849725,0.21210519011987347,0.2559499081642218,0.39615767988651157,0.044650679786776115,0.22982089451079768,0.08559569078997784,0.4707260832816317,0.2034434736132873,0.031863653797374915
0.3552386707001192,0.4380568757311903,0.11585347771701497,0.5002228615127852,0.361551777057643,0.227575834982645,0.3409181030304512,0.31441847433753034,0.2452898638250982,0.20861602575139143,0.23982577539849706,0.22646721779289583,0.4173040071242624,0.11046539947896324,0.36206531065869374,0.26730698464827,0.4362077556597628,0.3540101806266831,0.21532263753377395,0.6009604811761491,0.2822774450243707,0.45206527719530526,0.2582669569293734,0.34497433772763947,0.23944857173560155,0.4418298555810504,0.3011572453341537,0.24483292138200158,0.30462704357036985,0.29714503112688156,0.5121870025172626,0.4665674724835922,0.360067415394219,0.1635510940263156,0.10444056622891397,0.28689766893135665,0.2346733761612613,0.2844903256700859,0.4355095889614379,0.5685441475692572,0.2771463609454753,0.4849665504243225,0.19092474382989535,0.5472531915842652,0.37600600628207453,0.0670750004723153
0.5569586504445473,0.418442018557626,0.3896045418186513,0.4988752321780975,0.48066948970637835,0.5067087069412837,0.48196934022379534,0.5697419763360754,0.2348594577744414,0.15579531605258365,0.3862287540367593,0.43784423677851025,0.5313608302533834,0.3524000475452693,0.47615410600510794,0.5025440563056395,0.5206463327868637,0.45118442359895394,0.28468504716000126,0.5086875956300696,0.3022148205864608,0.4944189465078712,0.4625626039106309,0.4933282372343674,0.2919893136562143,0.5448734508493899,0.2931165668273779,0.23665668152010017,0.4220417311261324,0.4148640871129348,0.4154970205971277,0.49222866471947035,0.3897173946144208,0.48854875361056543,0.13099417955043927,0.41475406459492226,0.15628453480434823,0.4382525782992638,0.45052349301494743,0.5922577994879112,0.4171313535896839,0.547303480809324,0.3314924484892924,0.5621422737072583,0.37141873064891073,0.16537301560931789
0.5730637761113011,0.4739508157540416,0.5855000579193669,0.5522472968845372,0.6139108399436318,0.6321325861602961,0.5402177928701466,0.759920947908361,0.3718053397496405,0.23095950224078218,0.4444232132236707,0.5999690535645912,0.5050626988117446,0.5250162132265797,0.5729098564556567,0.6494867225871798,0.3850018462141115,0.44451078745144135,0.323633414145918,0.47148778704690686,0.2888369210856101,0.48665193803823725,0.6158730229453391,0.5511865091130462,0.26804478483135363,0.5797507728772737,0.32730466198853725,0.3111811090358456,0.4964062977658821,0.4285686490507586,0.3565667110279925,0.3777125120305288,0.299745019056823,0.5472559727216391,0.18831503646442377,0.553927381715095,0.1746986912210805,0.5293424068581817,0.47743289238942493,0.6582977997231648,0.3903975792473483,0.5229098154508433,0.3185910073528328,0.5386445121877431,0.4475589047537516,0.20200791035525717
