M1,M2,M3,M4,M5,M6,M7,C1,C2,C3,C4,C5,C6,C7,C9,C10,C11,C12,C14,C15,C16,C17,C18,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C34,C35,C37,C38,C39,C40,C41,C42,C43,C45
0.02318597029949803,0.008881124678006277,0.0148705043998489,0.0,0.02019822768994365,0.0,0.016153710563098583,0.0,0.0,0.012305011489344417,0.011057168040928402,0.0008397615953338426,0.030091152846008495,0.03648057606051047,0.0679819068630971,0.008312576466158746,0.047068036810894665,0.024866970944669685,0.0,0.013081010055426515,0.03438890332933119,0.010060725228935138,0.07953103939518115,0.006505989894250275,0.0007417988448070977,0.0,8.812694121685533e-05,0.04172665200593806,0.018109734772406363,0.0,0.0,0.013549329775417937,0.012215204705779522,0.04431787604900822,0.015867662973291383,0.02222566036359628,0.0,0.0,0.018736019738430656,0.008865865027227818,0.0421994909315984,0.004570920778360497,0.02695272943403312,0.018755567866904473,0.015871800327110885,0.039227869424811594
0.012484999820099943,0.0,0.0,0.0041796041937905044,0.004599171584335097,0.00043689504916752386,0.009684193812311621,0.03102570704902129,0.0010035240882921553,0.0,0.0,0.015660105128883443,0.0,0.05134951953854461,0.0,0.016866438708042532,0.02531207561763375,0.0,0.019061199665756257,0.004001613212436583,0.0392246691580977,0.009676673767244116,0.04279177478945198,0.010086676439832756,0.017586286696579398,0.014629124679790037,0.004766831697192782,0.0,0.007475482919130156,0.06910982587575687,0.027770861294370168,0.0,0.008644820630013806,0.012613738058116448,0.0,0.0,0.019580229737309773,0.046642460164766655,0.0,0.004780215465060841,0.09433544622113187,0.0,0.01359326575468087,0.01934436496980614,0.018244059315324662,0.0
0.0,0.013737666143444297,0.013622400482642873,0.0050948061121269365,0.007902710324372675,0.0012928365198576208,0.0024391513028848705,0.004496585201811655,0.010852738861494042,0.006956325505982713,0.03645156043804708,0.02381492821817967,0.019812991315386705,0.011770537260808789,0.006304928737760965,0.003045610486865649,0.0052360313560076074,0.03298564203262743,0.002718560013036067,0.0,0.013156122726756404,0.0,0.08019649661265525,0.034198698876505514,0.008358520998808919,0.014761634121350758,0.0008445737342527918,0.01105378475897556,0.01079950414187008,0.09671817633910917,0.02393174633808534,0.004930485797211406,0.02462114209850536,0.0,0.0011713452374394265,0.03125656879281537,0.006700363119927048,0.07040947225237454,0.030271443180897473,0.015901495273262428,0.08777879775497958,0.01672602338707662,0.0349113628570209,0.0,0.009524225068855044,0.01744065505951147
0.29750941588285684,0.20094412947789986,0.13494619060450455,0.18385246624084423,0.2574520348177597,0.035387530806277136,0.26393921605071785,0.26877556707507566,0.1386200131843968,0.13287901913635708,0.10644238341853338,0.07633833150689681,0.12412020832555751,0.0614752555699824,0.08272411558471479,0.263201927576686,0.04384374826800928,0.1509400645586722,0.24676534126659183,0.07094165496896229,0.04066223408382686,0.07868362282388255,0.14822126338810998,0.17542701083358803,0.02696199430097368,0.24898310245290303,0.15941514946610702,0.10398743692737927,0.07124110239088617,0.3313907033353588,0.04213845299253507,0.06732938197823816,0.03268692982883134,0.37267489996494574,0.18799875463050614,0.06130259290704162,0.22359858374651514,0.16491608716013567,0.22243003609923417,0.22209558876954597,0.391809933295626,0.10535378537602809,0.09983242792473379,0.08087352725624447,0.22934209962933005,0.13741747416146327
0.27282789813058583,0.14090766772709754,0.14329704754531705,0.16013764478604275,0.23491430853348447,0.05456094646422578,0.31128693234115323,0.31095554714595613,0.1551130601288558,0.12273791874947598,0.12354593269036795,0.06922862094568236,0.12487502203976691,0.10969691192301859,0.08268982166743796,0.23865704303253293,0.013846517881926753,0.15627979339050374,0.2143359514721782,0.04427898519276496,0.04130664947753252,0.11167664831444016,0.033813306804131374,0.17120478907420958,0.033482206452705304,0.3480874893550072,0.1420152653176255,0.0905127154138953,0.0740282477373177,0.4862084788266048,0.025667277485440468,0.0979378960106925,0.03528285571123485,0.3078349522342297,0.18182170482320936,0.09251774512838778,0.28898339478684476,0.20983383973722974,0.20434961673844165,0.17280750883078927,0.3512746700145131,0.08400793578756907,0.13564158053904382,0.10843405660269934,0.1452995242790398,0.1545955771709459
0.3020783202247948,0.18555040637806328,0.15425138509263303,0.17153636067662198,0.21143250618510226,0.0662604882271182,0.3158334408919995,0.3109042836254902,0.13915166404228452,0.13276728762850984,0.13922066292010263,0.07051946774597813,0.10638519483467004,0.022344653125123903,0.09133149197266938,0.22633143053389596,0.026309524996776298,0.1440889860913983,0.20544097652918158,0.07515846140912502,0.046065930246094074,0.11515752888435818,0.1859727847742883,0.12302830486958682,0.027024029159918056,0.45037550566084694,0.16426186634898304,0.13993096168283037,0.09497544170025628,0.4927659126373164,0.05347649899217032,0.0947836337814002,0.017638683136906228,0.2844238683968304,0.17053609174990433,0.09310140045037052,0.1734595914549722,0.22587871385221797,0.21412958341735466,0.21541394287995844,0.3743830421482658,0.08431744136721116,0.1495554836156505,0.060034403915648175,0.20601255340334362,0.14158864132372986
0.34784514205736133,0.16699943527289032,0.16772576016805366,0.1900160025664022,0.2471952093737859,0.12722624882339806,0.340534889609576,0.3422438620558703,0.08559569078997781,0.15049111595410009,0.2135573753671863,0.08233883628020244,0.11962621519360772,0.05959394627602088,0.09468311426053061,0.2526878103541647,0.07927444239644138,0.14933908222933281,0.3025057337092779,0.0578159042077488,0.044650679786776164,0.1429017687859438,0.23215456797645245,0.20227635818182513,0.04898795760660726,0.4428044802052764,0.18457617217418776,0.13514522897119097,0.10149494805285687,0.46902359909547686,0.031863653797374956,0.1563630078523313,0.10762260182275608,0.4459369740682761,0.15324762802888484,0.11925736158780884,0.24347247047983978,0.24470383968260756,0.2717028793674279,0.19407724625843345,0.23616828199909917,0.07280143563803478,0.1930713202904542,0.14009187900070005,0.19603491848764792,0.19376741131634814
0.47828618080402735,0.23982577539849703,0.2546992839940046,0.2822774450243706,0.3011572453341538,0.3144184743375303,0.4520652771953053,0.41730400712426247,0.19092474382989535,0.22757583498264503,0.22265705055245413,0.12074009603495954,0.24714718535278082,0.2504081960060849,0.21198525776127616,0.37319625970609055,0.1237861568470845,0.2831701479656288,0.3645976104446838,0.1085645188986947,0.27714636094547523,0.2120905693040814,0.3046270435703699,0.27260341688033146,0.11585347771701501,0.5366365597852065,0.23944857173560155,0.26310568396167305,0.16355109402631562,0.5121870025172626,0.06707500047231532,0.4665674724835923,0.19104951067109066,0.600960481176149,0.358742687031475,0.18466376278474367,0.35401018062668305,0.34497433772763947,0.5002228615127852,0.3409181030304512,0.3424731572772579,0.16302446045369795,0.22646721779289583,0.3193674715328269,0.20766146094717808,0.20861602575139146
0.5245450146486252,0.38622875403675927,0.32561411660107104,0.30221482058646076,0.29311656682737797,0.5697419763360754,0.4944189465078712,0.5313608302533835,0.3314924484892924,0.5067087069412837,0.34059884213413305,0.1341315892401074,0.2364798431490098,0.3640106590331537,0.46471718856135735,0.49039023006891164,0.2687046685725959,0.368837591848902,0.37131165534538224,0.1334764361533348,0.41713135358968384,0.3426371163494961,0.4220417311261326,0.27597153026045246,0.3896045418186513,0.4960905285461453,0.2919893136562143,0.38137033234108103,0.4885487536105656,0.4154970205971276,0.1653730156093179,0.49222866471947035,0.27187458122108293,0.5086875956300695,0.4487559190384021,0.24377073188117818,0.4511844235989539,0.49332823723436736,0.4988752321780974,0.4819693402237953,0.36254135105817853,0.1817303296312271,0.4378442367785102,0.2907844063259569,0.22659399974424255,0.15579531605258368
0.5283843551608909,0.44442321322367057,0.34845976183763744,0.28883692108561004,0.32730466198853725,0.759920947908361,0.48665193803823736,0.5050626988117446,0.3185910073528328,0.6321325861602961,0.4113348194682104,0.1656323177952328,0.3035495160775377,0.2744024511955772,0.5963746341192128,0.5203575216240945,0.2662434430074688,0.42977757825288093,0.3738796061685202,0.09735108922007493,0.39039757924734836,0.40445188319853714,0.49640629776588213,0.32139969585854256,0.5855000579193669,0.5487535549279684,0.26804478483135363,0.3507441020481826,0.5472559727216392,0.35656671102799253,0.20200791035525723,0.3777125120305288,0.30353112425264256,0.4714877870469068,0.3916796150550044,0.2062041736023289,0.4445107874514413,0.5511865091130461,0.5522472968845372,0.5402177928701465,0.5508734644206846,0.2621095937679892,0.5999690535645912,0.26173442202342617,0.2991886373006472,0.2309595022407822
