C1,C2,C3,C4,C5,C6,C7,C9,C10,C11,C12,C14,C15,C16,C17,C18,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C34,C35,C37,C38,C39,C40,C41,C42,C43,C45,M1,M2,M3,M4,M5,M6,M7
0.004956073010683244,0.0,0.0004281825633345934,0.0,0.00366500697421953,0.026820680450396164,0.015105715960311017,0.00509224635015797,0.01663918023960804,0.0,0.013739548781511603,0.029398883286831608,0.03493572290822708,0.03781944862115431,0.014455947454518614,0.0,0.0,0.0,0.0,0.0045541767111292875,0.0,0.0,0.05962159304219822,0.017184266806470005,0.0,0.014437539882339628,0.009362879148187602,0.029741759042954535,0.0722625786604944,0.1090775886348752,0.04914226268509085,0.014606662626116419,0.12630686819309003,0.02292647339030439,0.05253858919930104,0.04027140989984612,0.056891464796174844,0.000917647328417398,0.0,0.030611499851428456,0.0027960776093127887,0.015979899116617194,0.0,0.0001695371364363249,0.01921646756278815,0.0182559751684805
0.022426346929070706,0.04098290789142684,0.0,0.02522889385942139,0.0,0.019877818909354077,0.00987495326126709,0.0028244348206515266,0.022375975383883372,0.006604698906044183,0.0,0.012820218894237484,0.02629889413936047,0.03387231164259483,0.0033250503622956895,0.009766894172386437,4.161146521061698e-06,0.026810171164573085,0.022572348382247004,0.0015681081111980008,0.004945559736845732,0.002027976008745741,0.09070155553645665,0.0,0.013054707940037609,0.0071188058503120245,0.021247990348710628,0.03126082557756015,0.06731164055735726,0.0570891002000896,0.009187109500862128,0.0,0.08891007061248668,0.0,0.03843456283737585,0.0,0.0554986504786087,0.0016127269077998094,0.009503736487932853,0.016249520949922186,0.023471641258592336,0.0,0.01612548221472017,0.0004162165633999279,0.014469418451578037,0.039008190376320875
0.0,0.0008857623120443678,0.007038690541354448,0.006164766599056459,0.017890992709918903,0.0,0.0,0.013839807603932185,0.04292372324774328,0.011025205227409046,0.007939939175076006,0.005726428796811782,0.04149899496973043,0.019922332214176247,0.0,0.008400288693745483,0.005173840417533271,0.029568278224700525,0.02825046436734037,0.018613642064542142,0.018961138878781005,0.02676390539298,0.0553058646125176,0.021254492249123708,0.009553266775829329,0.0,0.0,0.03382959356902747,0.0029926235019241965,0.12169487243589848,0.034783317521120405,0.018255494781639767,0.05477312397404643,0.011583598897601983,0.01394798328700074,0.0034233368511592047,0.0,0.0,0.02725746325026155,0.03769342895362359,0.029988213017223583,0.032544967951799036,0.0039190274310027945,0.000846638768356528,0.02036195504941231,0.04077444989690587
0.05469404409587976,0.2733972008087609,0.03475331200681112,0.1314446162618233,0.06597970241090859,0.1172594243156399,0.18578839216116605,0.05067684647723218,0.06650335958893071,0.06284019824622686,0.1493247636147017,0.05875211213355636,0.24598588546795214,0.038584973690583384,0.043846639939840865,0.05209431423881401,0.15184275864920538,0.08963851176482895,0.06585007214704698,0.2678016697295026,0.14229891365328382,0.16337427201244192,0.09992208175879011,0.0036611447956360205,0.13140746505642203,0.07427969573599352,0.1806218377109442,0.17675485603000451,0.08277061687107437,0.07145678477481357,0.1315460487301006,0.10067887713166658,0.08963496170160912,0.0690668705999043,0.04290453122738928,0.09730997389125977,0.05204581372480716,0.18944703421340997,0.2950675889480062,0.16153745676380632,0.04878964419565633,0.08256926191640684,0.11097727895131165,0.28314459302578,0.04919331028120495,0.029605451518044945
0.01644874879361619,0.37886278756507824,0.008973944921604367,0.09376478600715474,0.07549635947904704,0.1172537700798818,0.19586379572944995,0.021199536606848184,0.09678467069137629,0.03197531383211629,0.0910182371037214,0.09889703142926665,0.30175483635784023,0.01753621993613335,0.04377681613470784,0.07836051525768481,0.20207970611484016,0.16124590717062207,0.19504397193454348,0.2400617223550359,0.09715064473455032,0.15941874221586727,0.10218560652702582,0.16286340390499093,0.09734437724247004,0.10639373458421045,0.12756492103489075,0.14122101001896145,0.0761454705844447,0.1318999421427527,0.28955152512888227,0.06759776580126109,0.15282426551082673,0.04372195960582425,0.030381197813320042,0.12371406464687239,0.059724662763331375,0.22012345913409148,0.21281988118566184,0.1098181765475015,0.029844467050380727,0.08812787378008675,0.15189351732407247,0.27829662450574055,0.08935149656931937,0.035287221706348765
0.05790721516084307,0.26727949171562604,0.03466106723989028,0.09014082778118856,0.06850781767712028,0.07172731913455632,0.19023988871401026,0.08065890089757626,0.06469578617392711,0.04320485032852662,0.11657837673250565,0.2176973270235468,0.2978208617547653,0.03291251778544931,0.045072984914769645,0.04804687255615088,0.1725720776417311,0.08380161719026741,0.14832449327404995,0.1442241883213184,0.08676382479584435,0.19271648415415743,0.09858385719004445,0.16270731891330098,0.08371627550124033,0.12345004567187448,0.10465408032923211,0.12078761779097247,0.11899113394149086,0.04840393005597417,0.24959423960496807,0.11337656266500222,0.12208693039251456,0.03419709625144101,0.022336806371412846,0.11589135981208211,0.044674647706890995,0.23267533639604093,0.16090745556662034,0.11947915380414255,0.014452748829074533,0.120504356782606,0.07575156251323986,0.3254330230746416,0.1692749248890937,0.06219369428868332
0.14348159173615382,0.2922394631979199,0.04903996895071937,0.21632990102307026,0.08194983399561107,0.08744329863229461,0.21203477713760432,0.11254470846547586,0.11076300969468228,0.06966408101789695,0.10670421649829154,0.15394607912900765,0.21538069355448453,0.021712244743732706,0.07613333168622133,0.07946617951993938,0.2071030702618195,0.1043797228049087,0.08388073697207926,0.2290259605207822,0.13670629530695433,0.18317880422412106,0.08908266410116775,0.10658074178362156,0.07858939121109984,0.1342226972502371,0.12290458732041386,0.1846036138091874,0.23167184863837775,0.15610187811090742,0.2807359166125591,0.14709959252724417,0.1463842044545862,0.05516883661179596,0.04411332070123312,0.1273904820580785,0.04548629291740899,0.27319934560570475,0.23690268179800875,0.16651168843218575,0.09905543582551175,0.14030481164713904,0.08877476333997944,0.3605241286023836,0.19707647968589712,0.045930474276176844
0.26740322020660523,0.3749720885426943,0.08146385269954258,0.49914377478855365,0.24316495089503692,0.18928599797387155,0.29147629958131194,0.32839759721022455,0.07494657428328863,0.10961254167257209,0.19990245434672588,0.2155004254984689,0.2880921316653395,0.09797155554635689,0.2065516342434604,0.2452168231831551,0.26593548829672836,0.15023236866532352,0.13540305383955914,0.3083841568312082,0.17631593979199464,0.2988429958161588,0.19944734360287317,0.2553658093797613,0.156837632366446,0.34643823632383436,0.23532483084187683,0.20580383752748282,0.219196032472384,0.17554834986103696,0.38368851753397915,0.43584937438103827,0.2988122917632599,0.13382524611825908,0.09701143463694695,0.2032543636239975,0.1012147564431522,0.4210076518305629,0.44115606483967074,0.37592368219118816,0.2116006934514778,0.47723295783512193,0.14336065222625533,0.47589035313945255,0.42929620824463455,0.09034774682079016
0.4619621398425736,0.26562175317153525,0.28114782990115833,0.5066178516516331,0.3740419410665116,0.5500852891734453,0.42431035238521775,0.5517234974417846,0.1871641934606352,0.089670115815355,0.42525141437639885,0.4729893679707223,0.40817028336861483,0.4474207151379527,0.30227786648287924,0.4316458574424946,0.487841900986613,0.24038846462036523,0.2154666668344757,0.3591305429394967,0.27762202014032333,0.3083720932928207,0.34097943758310734,0.2821578869151932,0.21909880880796667,0.4289821081595068,0.24216880037564115,0.35630595671551224,0.37948917964227513,0.16965118484708303,0.1293592156903629,0.42776480585020726,0.3418062873771124,0.49840024261049565,0.0814654046306661,0.29344365352949003,0.09528404100655849,0.5655242795765321,0.3643266168559973,0.4543739626628904,0.50796692555857,0.4483265664000738,0.3974228325113209,0.49435927061805734,0.2782267178373797,0.1792044039851228
0.4901715406850498,0.2992776110517226,0.4256487175453298,0.5745375661929311,0.5037646587061634,0.6685420142660676,0.5415610595198548,0.8048030582666917,0.2745824946719438,0.13023518812277607,0.3537018544903604,0.5701984730036087,0.4098110289818742,0.6593815665989206,0.3165399217275961,0.5423323269086715,0.29174057026626343,0.2237199277000123,0.22512703026188044,0.4116894643887277,0.33048118837638424,0.34668618595315165,0.4185660750980763,0.38905757673958713,0.18191398913888385,0.4639591246618355,0.24793587828616925,0.26894225448352305,0.4183962595841622,0.2615548418885268,0.17302431474928737,0.3256251311087685,0.41775121322285164,0.5549595254694965,0.16720287368956496,0.5757111730779514,0.1573261935787959,0.48398216414717005,0.4375462765355739,0.470990160109221,0.4747687413222316,0.5831487017190574,0.3323487696215492,0.35682152925933885,0.41302550883643185,0.21039137197120708
