UMTS,748,10,19240,69027868,0,-56.2266,-34.703,2117,12,1,1348183918,1742626188,0
GSM,748,1,18,1226,0,-54.5051,-33.1977,12993,27,1,1382142425,1733986693,0
GSM,748,1,1,591,0,-56.1967,-34.8974,4626,26,1,1223628167,1747115056,0
GSM,748,1,2,941,0,-56.1208,-34.8655,3730,18,1,1223609705,1738305359,0
GSM,748,1,2,1072,0,-55.9888,-34.8209,8197,27,1,1223629773,1742539559,0
GSM,748,1,2,4251,0,-56.0537,-34.8413,7507,22,1,1246808370,1742366494,0
GSM,748,1,9,733,0,-56.2005,-34.8813,3201,26,1,1361371570,1747892243,0
GSM,748,1,2,3462,0,-56.1192,-34.8069,7563,6,1,1362087325,1738219174,0
UMTS,748,10,19220,68906454,26,-56.1965,-34.9024,1109,6,1,1363737976,1753504222,0
UMTS,748,10,19220,68916517,0,-56.1644,-34.8827,1000,21,1,1364483362,1742106649,0
UMTS,748,10,19240,69017830,0,-56.2287,-34.7268,1020,19,1,1364620079,1748149244,0
GSM,748,1,9,732,0,-56.1967,-34.8897,8030,25,1,1364867069,1743917226,0
UMTS,748,10,19220,68896436,0,-56.1553,-34.8859,1255,17,1,1365393155,1735108162,0
UMTS,748,10,19240,69027830,148,-56.2511,-34.7454,3649,27,1,1365786705,1751347138,0
UMTS,748,10,19240,69067601,0,-56.2503,-34.8121,2757,16,1,1367805240,1736404993,0
GSM,748,1,9,652,0,-56.1787,-34.8951,2458,21,1,1369159195,1734849333,0
UMTS,748,10,19730,68982231,0,-57.9531,-31.4059,2129,11,1,1369596039,1747288421,0
UMTS,748,10,19240,69057808,0,-56.4039,-34.7019,3578,7,1,1370260203,1750521147,0
UMTS,748,10,19240,69017896,0,-55.1981,-34.3643,5328,36,1,1370394459,1744954351,0
GSM,748,1,3,4111,0,-55.2292,-34.7631,6534,14,1,1370797050,1736836806,0
GSM,748,1,31,14,0,-55.7357,-34.721,18465,23,1,1372701716,1755144049,0
GSM,748,1,31,12,0,-55.7384,-34.767,17472,26,1,1372701731,1745467426,0
GSM,748,1,10,943,0,-56.1503,-34.8692,3230,22,1,1372711850,1742021615,0
UMTS,748,10,19240,69027474,0,-56.1296,-34.8145,4560,19,1,1372946593,1751088449,0
UMTS,748,10,19240,69027478,0,-56.1263,-34.8044,4447,24,1,1372946653,1751347079,0
